date_str,year_month,year,cost_gas_eur_mwh,cost_coal_eur_mwh,cost_diesel_eur_mwh,cost_uranium_eur_mwh,eu_ets_price_eur_tco2
2023-05-27,2023-05,2023,26.52,13.635075925621969,,2.9728630853000566,
2023-05-28,2023-05,2023,27.92,13.635075925621969,,2.9728630853000566,
2023-05-29,2023-05,2023,29.12,13.635075925621969,,2.9728630853000566,
2023-05-30,2023-05,2023,25.69,10.698662500328098,,2.9728630853000566,
2023-05-31,2023-05,2023,25.57,10.885093814351391,,2.9728630853000566,
2023-06-01,2023-06,2023,24.96,10.780067707143324,,2.9728630853000566,
2023-06-02,2023-06,2023,24.2,11.490669054903035,,2.9728630853000566,
2023-06-03,2023-06,2023,23.58,11.490669054903035,,2.9728630853000566,
2023-06-04,2023-06,2023,24.12,11.490669054903035,,2.9728630853000566,
2023-06-05,2023-06,2023,26.56,12.728684472806501,,2.9728630853000566,
2023-06-06,2023-06,2023,26.93,12.099450673506274,,2.9728630853000566,
2023-06-07,2023-06,2023,25.23,12.603047900539936,,2.9728630853000566,
2023-06-08,2023-06,2023,26.7,12.907509484015609,,2.9728630853000566,
2023-06-09,2023-06,2023,28.01,13.233252193633275,,2.9728630853000566,
2023-06-10,2023-06,2023,23.46,13.233252193633275,,2.9728630853000566,
2023-06-11,2023-06,2023,26.01,13.233252193633275,,2.9728630853000566,
2023-06-12,2023-06,2023,29.92,13.11237253815188,,2.9728630853000566,
2023-06-13,2023-06,2023,29.8,13.268923411293548,,2.9728630853000566,
2023-06-14,2023-06,2023,36.37,13.282049651760842,,2.9728630853000566,
2023-06-15,2023-06,2023,42.12,13.182283294742803,,2.9728630853000566,
2023-06-16,2023-06,2023,36.63,12.867561864869351,,2.9728630853000566,
2023-06-17,2023-06,2023,33.58,12.867561864869351,,2.9728630853000566,
2023-06-18,2023-06,2023,32.39,12.867561864869351,,2.9728630853000566,
2023-06-19,2023-06,2023,32.7,12.867561864869351,,2.9728630853000566,
2023-06-20,2023-06,2023,39.89,13.129212526984519,,2.9728630853000566,
2023-06-21,2023-06,2023,38.97,13.077696845989314,,2.9728630853000566,
2023-06-22,2023-06,2023,36.94,12.92466843817517,,2.9728630853000566,
2023-06-23,2023-06,2023,31.84,12.891584862634557,,2.9728630853000566,
2023-06-24,2023-06,2023,32.66,12.891584862634557,,2.9728630853000566,
2023-06-25,2023-06,2023,31.52,12.891584862634557,,2.9728630853000566,
2023-06-26,2023-06,2023,33.54,12.913900495726143,,2.9728630853000566,
